Sleep           SingleIteration          2-Iterations 3/4-Iterations     5/6-Iterations         7/8-Iteartions   9/10-Iterations  11/12-Iterations
0                 9990                      10              0                 0                     0            0                  0
50                9890                      33             32               39                      0            0                  0
100               9678                      114            99               89         		   20		0		   0
300               9126    		    440            191		    142                   100            0                  0
500               8281			    780            356		    300                   170            81		   0
700	          7276                     1221            794              589			  257           161		   0
900               4861                     2124           1310              716           	   506     	315                158      
1100     	  4808                     2135           1325              726	                   512          321                164	 
1300		  4797			   2140           1325              730                    512          322                166
1500	          4794                     2137           1324              727                    511          320                167
